sentiment,content
0,layin n bed headache ughhhh waitin call
0,funeral ceremony gloomy friday
0,sleep im not thinking old friend want he s married now damn amp want scandalous
0,charviray charlene love miss
0,kelcouch i m sorry least friday
0,ugh beat stupid song get next rude
0,brodyjenner u watch hill london u realise tourture week week late watch itonlinelol
0,storm electricity gone
0,sleepy even late fail again
0,convinced always wanted you signal give off damn think lost another friend
0,tired think i m definitely going get ear infection going bed quot early quot once
0,isaacmascote i m sorry people rude you isaac get manner know better lewd
0,fudge b d whole paper tired ugh hate school time sleep
0,ether radio yeah s feel funny cause slept enough woke mum cause singing impressed s you
1,mmm much better day far still quite early last day uds
0,i m problem photo twitter amf can t see face
0,maternitytees aww onward upwards now yay still sad leave bet
0,diesel yaris mpg sad available u that d awesome
0,want buy great album unfortunately dont hav enuff fund quot long time noisy quot
0,pokinatcha honesty pain blech
0,ok passenger one alive they re dead know til end cry
0,vincew stefanyngo fell asleep beach put enough sunscreen lol
1,great see oin amp cynthia happy dinner great cute little place bad oin got sick afterwards
1,havingmysay dude favorite sandwich place ever ummm take picture
0,rachellock ohh thursday exam day wednesday
0,gcrush nopantsdance thinking excited guy move realized sad see go
0,artfuldodga love it sakey usb stick gb australia
0,sweeetnspicy hiii im ipod i cant fall asleep
0,dont wanna work tomorrow get paid
0,feel sad coz wasnt able play guy http plurk com p wxiux
0,darn allergy like time year this never used problem either
0,cayogial wanted come bz summer sure anymore teacher s life summer suck
0,wish knew put through she stole heart never gave back and occasionally like like look have
0,neesabear early happy day birth case make it tired therapy today n taking medicine misshu love ya
0,allergy suck duck nut lt gt
0,wonder karma point turned http plurk com p wxj
1,need pack cali cali cannot waittt thinking glass wine order celebrate weekend vaca still work morrow tho
0,miserable feel like im gona cry sux
0,sigh i m going bed feel right anymore
0,depressed watching think dance
0,cross cause i m stuck twiddling thumb now ugh
0,last day working uni today sad time
0,still missing husband really want home
0,miss puppy
0,nzdeany i ve given pizza kid would never let fav the hot one
0,barbschaefer yearling pet home died sad whole family
0,heresmyhello hate change course we re fan life lt oh met rob something went horribly wrong
0,well fuck new pain med odd warning actually applies me can t take this chan displeased
0,uploaded new blog painful story s year old man cried wanted die sad
0,saw pic past thanksgiving sad grandma them
0,took shift tomorrow really feel like working right now
0,money phone
0,bad red devil disappointing say least
0,xdjio ware se fast enough x x m ssd raid mhz iop hpt might try adaptec ghz
0,alexandergwhite daaammmnnnnn wish there
0,yuki hime played latter part voodoo village part co op lost usual partner
0,bad friend
0,moggy internet last night er brill massive explosion end nearby gas work er standby
0,lenje still pity come lamb though
0,bloomsday i m sorry hear that optimist thing get better u
0,cancel wow
0,fairyfroggie yeah i m sad quot ravenclaw quot account love account bit
1,took math test today day test teacher say bring calculator luke confident teacher decided calcs
1,omg concert awesome madrigal gave chill almost every piece brook also called alumnus didnt get go
0,late nothin do
0,sometimes wish thing could go back way beginning last summer
0,kateisbored feel way guess matter always meme
1,can t minute treadmill done minute today already gonna minute
1,chillin roomy can t wait zombie clwn cr gonna week
0,cute malay girl came seemy room rent sadly think guyfreind bit misleading disappointing lol
0,everytime send email coach feel need practice shitty ball lol
0,pissing letting follow ericka
0,going sleep peaceful wanted hear say good night happen good night everyone
0,mum trying make feel ebtter stopping voting adn winning shortstack almost cried
0,seen muffin two whole day
0,yumifujii i ll miss y all back give lesleyboudy regard
0,found mj mouse flat dj course none left size
0,xoshayzers knoww thing samee lt
1,vinylvickxen kno doooo yall partyin
0,going sleep gonna fall asleep playing apps again tmrw going suck
0,can t believe metal gear solid song stolen i m disappointed http bit ly ykksu
0,maczombierawr wish left dead first i d need something play on
1,spilled beer leg wasted half beer home now met cute girl good conversation
0,teeth head hurt
0,hate rob zombie movie amp smell weed vommmm
0,arrested development sad
0,omg keep losing follower sad want one day thats goal d
0,feel deflated doggy
0,empty trash mac one difficult thing ever done life picture gone
0,im contacting paw philippine find quot tiger quot new owner im sad love dog soo much
0,got home wanting read last chaper breaking dawn cause dont want
0,fuuudge movie store closed
0,alo sad quiet empty tonight
0,mona aw headed to cancelled trip aussie
0,sad christian lacroix file bankruptcy
0,dont feel good all fuckkk
0,go dreaded dmv tomorrow
1,english class working interactive oral
0,taylor swift joe jonas looked really good together i m kinda sad broke up
0,god want sleep
0,found book starting real paper bound journal tonight annoying zit lip make look like herpes
0,realblackwidow dun wanna
0,imjustlalayone damn girl i m ya gotta let know get kit together amp got flyer next weekend i quot m down
0,justinodom dbl booooooo sick flippin blow bahaha kno dont many friend either feel lame haha
0,feel sick stomach idkk whyy
0,hello jodie um thrown jarewolf s van yesterday taken er
1,fb boring wanna sing right now
0,judyrey link work
1,celldweller must have new music sleep give u chapter might die first though hurry
0,stupid tooooth hurt
0,turnitgrey computer broken broke laptop use phone ahh still cause fucked order
0,i m awake anybody else awake wish lived u since fun happens i m asleep
0,penguin j heehee love you tired
0,morning everyone sorry going early last night bad news felt totally crap today new day
0,wish parent put chinese school younger then it ll much easier get job
0,joiskol room make sad
0,cocktailchic oh f ck completely forgot thirsty thursday oh my gaga suck
0,one people wrong world blame people there great world living in shit
0,meljachin eww dislike
0,suzydunkley sorry bout cat
0,missed iron chef
0,thevowel d version suck
0,bad day
1,pandamayhem noooooooooooo look lot picture lol lol
0,went cd store search cd
0,miss mom quot may angel lead in quot
0,chocolovere feel way every day
0,can t sleep suck one day sleep get go shopping mom ugh
0,sleppytime really missing godfather right now love wayne
0,headache right suck
0,jwray lakers baby lakers i ll miss game tmwr work keep posted please
0,comfort food day pan mee though didnt taste good
0,miss baby
0,i m poorly can t sleep
0,work tom
0,today say goodbye second good friend week dmp least sun shinning i m definately working pm
0,sometimes thing say hurt one love unintentionally never ever take back fix it
0,nickkk suck
0,fever dont feel work
0,missing meldibiase day can t pas quick enough
0,working home today back killing doctor physio later today
1,ddlovato demi say hi it s enough replay please love much
0,missing deeply
1,mrssunshine big now vanessa going september going fast hard cuz im workin much miss alot
0,ravel sniff sniff take care ravel hopefully we ll chatting soon mean time i ll hella miss you
0,want leave
1,good lord seen agency work upcoming open day money jam
0,kaliyahpjones lmao thats sad kinda discourages rom goin shit s wack
0,willynorthpole wish
0,miss little batty month old got sick always fun full life lt even end
0,morning again hate morning offensive
0,bed bed bed samuelasanders never answer text anymore thought day sent one never heard back sad day
0,brianshead waah we re longer peep
0,angelica yo lol wow dawg sound like playing feel bad haha
1,little foster kitten getting big chubba winston going b missed get amazing home
0,mariuslt i m sorry bad driving experience
0,already miss cmontecillo
0,gutted bathroom still free early work going happen need loo
0,thank ddlovato cant wait ummm btw ima crash still sick
0,first work computer home laptop fucked
0,joek depressing i m stuck inside day
0,hate sick miss cynthiasheree lucyowns larilync
1,getting ready school second math test today also last day rd year next week officially th year
0,woke up i wanna stay bed
0,upsidedown tomato plant died
0,ddlovato caan t iht earlier icant wait long ahar
1,friday yay bonus drive wale tonight athough miss kitten cuddle going ride
0,prncsztalia hate me
0,http twitpic com vr wanted visit animal late
0,jonaswebcast missed it
0,exhausted can t sleep like night
0,i m gonna miss live comet action tomorrow go take care cousin access interwebz
0,nothinbutsin sorry hear that
0,found can t drink bar booo missing e palomino s cheer sad face
0,finished whole box ice cream
1,ok shoe club cool fun poppin except ppl tryna dance wit
1,ohemmy lol hi emmy latin would help study aptitude test get grad school thats wanna take
0,chrisontv btw wimp
0,queenbmakeup can t add myspace girly asks last name email
0,wanna go back work sleepy time
0,http bit ly ww noooo go orlando omg i m gonna cry
0,johnpopham morning john yes do however diary clash sadly can t attend
0,miss friend
0,yea saw really sad commercial
0,hmmm using tinytwitter small non touch screen really much fun
0,hate sleep alone
0,loved johnny carson i m going hate seeing jay leno go
0,even though everyone wanted newish song teacher agreed s old grumpy like u happy haha
0,razitul ya suffering whole day yesterday met dentist feel bit better still look like rocky balboa though
0,get callback play cried oh well guess back techie
1,uniquemakis awesome wish could fly see
0,lunafactor kinda wish went now can t fall asleep
0,dakshinamurti yet sorry
0,fall asleep know feel lol drag hell tonight quite excited
1,someone take la need see lemon tree
0,um think text msg quot subject line quot fail
0,tummy ache
1,hiracdelest who s one always working now oh yeah still me
0,askegg i m sorry andrew wish something could do
0,finsh work eleven even allowd cauz really dont want to lol
0,amandamallard i m chaseton s either please die heart really sad
1,interesting show say least recap tomorrow first must sleep work am
0,can t sleep darn frustrating
0,stormyamorette one day loneliness creep slap face
0,rip kelly fucccccck
0,feeling good
0,ok time nodd gonna long day tomorrow saying goodbye car good
0,miss oklahomaaaaa listening citizen cope til pas out
0,funny i m kinda sad last day
0,jenny fell asleep come
0,wish teased movie night
0,johneast i ve missed one year forbidden fruit tree garden munch disappointment one
0,ivanae love to knw gna cut stuff tv
0,joannaangel im strict diet ugh feel like cheat one day ill throw everything up
0,cal dachshund rescue found home foster pup max i m soooooo sad see leave
0,wow feel like ish really feel bad ignorent aholes wont overturn prop
0,work now finish pm booooo
0,wish teased movie night
0,maybe take drinking again feel massive hangover still yself today
0,sleeping lost voice couple day ago
0,sleepy earlier didnt get see matt
0,realized spelled quot adorable quot wrong tweeted mindykaling must hate
0,glowing face complexion always pale
0,downloadfestival s lineup good thought wa awesome band festival missing dl
1,sashairene hahaha oh man please come pomona would love see everyday instead like year
0,oh tweetdeck malfunctioning o il web fixd
0,electrax i m sorry still sick u know them know u guess quot pelzer present quot
0,maliciousmandy adam samberg new moon trailor good evening bad cable friday
0,got as kicked tripoly lol got bad card suck
0,annnnnnddd another one bite dust
0,nd written fuck get less idea every day every day
0,hammett wish could time xbox project tied
0,trash repops getting tomorrow night suppose
0,feel like crap whenever lay down hate heartburn amp backache
0,katiefreeze miss you lonely empty without you http yfrog com ozxoj
0,lozzyx noice realised exam week forgot whole week unit term thing
0,missing everyone
0,sisser moving tomorrow make sad actually guess technically couple hour since already friday
0,wired sad
0,still sick sigh
0,feel really weird
0,throat hurt gonna go read go bed text mee
0,fjdskal im really frustrated
0,wondering come mcdonalds take long deliver food
0,kenyaimagine much injustice imagine now get worse get better afraid doubt here sorry
0,sooo i m kind sick n tired b guy dish
0,staronmainest idk lol head hurt rly bad amp stomach hmm personally think s ive deal wit
0,beautiful day shame i ve got spend office
0,finished watching series return chaser war everything really quite crap compared used
0,wow realized checked twitter since am saw to do list good news got lot done bad news don t know day went
0,http twitpic com b miss bestfriend left school
0,tummy hurt
0,farewelling employee tonight
0,morning all water heating s packed up can t bath really want bath
0,heavenlyriot girl confusing
0,lyrically me would me
0,blackout city never good
1,wedplanworkshop flight already booked plus ggd st birthday can t miss especially missed ggd
0,half a mind chris staying glasgow instead cause absolutely accomodation edinburgh due marathon
0,t isfortammy sad tweet sad
0,decided can t stand guykawasaki s alltop spam longer
0,miss rich
0,headache century coming feel fuck
0,disappointed know got silver award want gold award hate second best
0,home ice cream tweet up my first tweet up pic camera battery died last night forgot charge
0,narain dun wanna travel way lunch now yeah there nice place missing shan e punjab though
0,xmylifesastoryx rob got lucky game beat
0,home school shitest day today
0,hobosexual lol went buy new laptop feb already knew lol looked anyway walked away sadfaced
0,sitting myself everyone took good seat
0,sfannah ahhhhh well least i m to
0,dhughesy me oh wait wrong state
1,u missing ur frnds hear quot manasellaam quot kulir degree movie amazing nanbargale miss u guy
0,sorry mean
0,rscheuer sorry spanish moment
1,cha rade oh economy gotcha sorry happy got another one la enjoy socal ahahaay lol
0,flu pas unto andy went shopping got fresh chicken chicken soup but d amp d sat is sad panda
0,well
0,miss rain oh hell way tell me
0,theblackestsea oh crap
1,carlie came fell asleep
0,shaundiviney didnt get msg bought princess
0,i m unhappy here hate it affecting everything relationship people personality attitude
0,there s nothing right i m tired want sleep cleaned pretty good proud least i d good janitor
0,madush oh my im offended ha
0,d version sold regular version is
0,nicktheintern love still havn t done lunch together like said would miss friend
1,friend im deeply sorry i m moving miss u much
1,allyycase suuure
0,ache amp chill joined party cold go away get worse
0,bed stomach ache
0,lappy charger completely dead conserving what s left battery afford buy new one
0,finally accepting fact cute guy taken
0,hazelangeli vtrn bad vo got sick think amp even med feel like you
0,honza take flight back czech republic morning i m really going miss him
1,ah thats better snow patrol stuck indoors still weekend coming fresh air excellent hope sunny
1,early load do sun out hurrah
1,bevjack babe sooo much fun thank much making happen fun lady too time went fast
0,matty le tired
0,nellagrl really good night missing little girl
0,nite tweeple tomorrow day work
0,ahh man getting ready work wanna sleep
0,jasminecjones thinking thing love morning chat totally need live gether full time lol
0,wish sri panwa
0,want listen musiq soulchild ipod
0,miss seeing firefly
0,brookeleeadams hang there health priority right now hate seeing good people get mistreated i m genuinely sorry
1,coledavid little family party tonight hope rocked
0,awesome time gotmeet brandon rhyder unfortunatly can t sleep n tomorrow back ole job pattymlt got game face on
0,saresa feel pain
0,orw nooooooo want go back newcastle
0,bout watch notorious cause that s i m feelin now wish could eat something can t surgery tomorrow food til saturday
0,jessicaveronica guy gonna tour short stack again missed last tour friend went said mad
0,i m going miss miss suhana
0,sink hospital toilet low crotch grey suit spattered water time physio
0,go get life sam texted phuture tonight http sgbeat com pic
0,sad leave beautiful apartment
0,greco i ve trying think that
0,waiting bus miss car
0,say i m still dreaming nikon d errr ate kuya please lang huhuh http plurk com p wxrx
0,kind lonely nobody answer phone
0,rest peace adam amp glenn epps gone never forgotten week loud da air ya
0,worst week thing really happen three
0,katrinalmoreno im idiot missing last show
0,chuybe left first left bed look
0,bike trail miss j two front teeth hopefully vacation suck
0,sadly bprohibiting tweeting tonight sorry
0,kesoleil oh man yogg today worse last week
0,anant unfair good rock show happen b lore pune
1,miss concert tuesday already i d really like time machine go see again fun
0,cant sleep again couldnt sleep last night eather wabble wabble
1,hahaha yeah see that can t twitter back
0,stay away home since part india dnt hav gud wireless internet im fucked
0,wookei never accept psn friend request
0,davidakaplan leopold say hello
0,dad tv loud get creeped cuz im dodgy neighbourhood someone bush
